date,nav,scheme_code,scheme_name
2022-03-13,81.2851,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-03-11,81.2894,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-03-10,80.9288,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-03-09,80.2635,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-03-08,79.08,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-03-07,78.29,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-03-04,79.42,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-03-03,80.3,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-03-02,80.54,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-28,81.06,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-25,80.47,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-24,78.64,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-23,81.58,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-22,81.68,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-21,81.99,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-18,82.37,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-17,82.71,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-16,83.08,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-15,83.33,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-14,81.44,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-11,83.62,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-10,84.8,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-09,84.39,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-08,83.5,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-07,83.65,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-04,84.57,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-03,84.71,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-02,85.43,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-02-01,84.74,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-31,83.43,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-28,82.58,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-27,82.13,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-25,83.01,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-24,82.61,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-21,84.53,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-20,85.4,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-19,85.9,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-18,86.37,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-17,87.19,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-14,87.15,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-13,87.2,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-12,86.98,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-11,86.37,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-10,86.25,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-07,85.81,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-06,85.43,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-05,86.01,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-04,85.97,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2022-01-03,85.79,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-31,84.95,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-30,84.27,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-29,84.09,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-28,84.15,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-27,83.45,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-24,83.11,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-23,83.49,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-22,83.15,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-21,82.06,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-20,81.15,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-17,82.82,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-16,83.57,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-15,83.71,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-14,84.1,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-13,84.08,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-10,84.22,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-09,84.15,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-08,84.07,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-07,82.89,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-06,81.89,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-03,83.13,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-02,83.57,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-12-01,82.78,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-11-30,82.29,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-11-29,82.02,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-11-26,82.31,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-11-25,84.33,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-11-24,84.09,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
2021-11-23,84.45,101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
