scheme_code,scheme_name,cluster,risk_category,volatility,return_1y,max_drawdown,sharpe_ratio,latest_nav,latest_date
101628,DWS Alpha Equity Fund - Dividend,0,Very High Risk,25.515667018354765,-19.613259668508277,-59.133790737564325,-0.1237624234389398,17.46,2016-03-02
102639,ABN AMRO  Equity Fund-Growth Plan,0,Very High Risk,33.40833325253913,-29.96878251821019,-64.38071487946799,0.2425728901166589,20.19,2008-11-07
102245,ING Large Cap Equity Fund-Bonus Option,0,Very High Risk,34.28896905095791,-23.466309084813947,-56.12244897959184,-0.2450558806830687,22.83,2009-06-12
102640,ABN AMRO  Equity Fund-Dividend Plan,0,Very High Risk,46.581406482451335,-48.129359543436905,-47.89366053169734,0.9905890374374982,8.18,2008-11-07
100151,Principal Retail Equity Savings Fund - Growth Option,1,Moderate Risk,16.373968020582748,5.734812200655403,-61.03763987792472,-0.720087034053322,83.89,2014-02-28
101913,BARODA HYBRID EQUITY FUND - Plan A - IDCW Option,1,Moderate Risk,21.083574379424935,33.016973125884,-56.841520954759915,-0.0999102517680749,18.8086,2022-03-13
102947,HDFC Hybrid Equity Fund - IDCW Plan,1,Moderate Risk,21.264817007465908,-4.670233802489245,-61.26426879172949,-0.1939551767498396,16.391,2026-01-09
101629,DWS Alpha Equity Fund - Growth,1,Moderate Risk,22.85973825135122,1.428195916936835,-74.85546962985208,-0.5582004567109646,115.76,2016-03-02
103407,HSBC Infrastructure Equity Fund - Growth,1,Moderate Risk,23.296915998347533,25.006499968620833,-74.83786255733708,-0.3738357264804913,27.8862,2022-11-25
102961,Fidelity Equity Fund-Growth Option,1,Moderate Risk,23.43138768611427,2.0271794293447445,-66.87015134172708,-0.5753426913317293,36.187,2012-11-22
103406,HSBC Infrastructure Equity Fund - IDCW,1,Moderate Risk,23.48186803240335,25.00592882250949,-74.83799756436312,-0.3277447103432334,23.72,2022-11-25
103007,HSBC Small Cap Equity Fund - IDCW,1,Moderate Risk,23.59061401788585,13.94622513451279,-83.26589221785727,-0.2755494668457426,30.1357,2022-11-25
102962,Fidelity Equity Fund-Dividend Option,1,Moderate Risk,24.7713984167503,-3.258898749880714,-62.13272237630131,-0.2615447016706718,20.275,2012-11-22
103487,Standard Chartered Imperial Equity Fund-Plan-Growth,1,Moderate Risk,27.62938453025313,23.890292015384876,-56.30050241017474,-0.6152763161474609,15.0103,2008-05-29
103488,Standard Chartered Imperial Equity Fund-Plan-Dividend,1,Moderate Risk,28.267906812680625,12.293864210369929,-56.30050241017474,-0.446336117361076,13.6053,2008-05-29
103053,Standard Chartered Classic Equity Fund-Plan-Growth,1,Moderate Risk,28.48173800547776,21.482011081888515,-60.92927408922716,-0.4975335233957194,19.0304,2008-05-29
103054,Standard Chartered Classic Equity Fund-Plan-Dividend,1,Moderate Risk,31.320534229040863,-0.6162149681069062,-46.01784164887178,0.0578164021044392,13.7734,2008-05-29
102902,JM Equity & Derivative Fund-Growth-growth option,2,Very Low Risk,1.3620216292640517,10.291979441401242,-17.900529619608953,-9.4592718137804,13.0471,2009-01-29
102903,JM Equity & Derivative Fund-Dividend-dividend option,2,Very Low Risk,4.073877144267727,-2.059697460831981,-2.695975586496282,-1.2745533791400676,10.1521,2009-01-29
102196,DWS Equity Income Fund - Growth Option,2,Very Low Risk,4.550363479217942,19.02809861021699,-53.80518283314555,-2.9234672808464817,25.1454,2016-03-02
103740,ING Income Growth Multi-Manager FoF Scheme Option A -15% Equity Plan-Growth,2,Very Low Risk,4.761542082185535,12.524591597324433,-37.66928909891332,-2.3252121145070213,15.4431,2014-10-08
102193,DWS Equity Income Fund - Monthly Dividend option,2,Very Low Risk,4.894544441865659,6.725317693059632,-17.10262577670875,-1.400086570614898,11.4639,2016-03-02
103739,ING Income Growth Multi-Manager FoF Scheme-15% Equity Plan Option A-Dividend,2,Very Low Risk,4.897913288341133,12.524016545987449,-35.545974130151414,-2.178881791724555,14.9343,2014-10-08
102904,JM Equity & Derivative Fund-Bonus-Bonus option,2,Very Low Risk,5.009728688275061,10.366265588197706,-15.28210897239708,-2.030013996066592,12.0893,2009-01-29
102194,DWS Equity Income Fund - Quarterly  Dividend,2,Very Low Risk,5.706079887477824,5.078258935604341,-15.677933722203818,-1.160052978814213,11.3391,2016-03-02
101499,Principal Equity Savings Fund - Half Yearly Income Distribution CUM Capital Withdrawal,2,Very Low Risk,6.239326130653434,18.267366921254492,-35.58439687518417,-1.2245062031429486,14.277,2021-12-30
101500,Principal Equity Savings Fund -Quaterly Income Distribution CUM Capital Withdrawal,2,Very Low Risk,6.42096071267991,18.732847358198285,-35.204445707429514,-1.2431822107810455,15.0989,2021-12-30
103741,ING Income Growth Multi-Manager FoF Scheme-30% Equity Plan Option A -Dividend,2,Very Low Risk,6.791510297612478,19.141653501843074,-44.81449229001168,-1.753041138342451,16.7425,2014-10-08
102195,DWS Equity Income Fund - Annual Dividend option,2,Very Low Risk,7.188163224459489,10.31290593090748,-25.040604789888672,-1.1498702772655391,13.4178,2016-03-02
101586,HDFC Equity Savings Fund - IDCW PLAN,2,Very Low Risk,9.11170329637234,-2.8258887876025516,-34.47310243183493,-0.7268234063863763,12.792,2026-01-09
101498,Principal Equity Savings Fund - Growth Option,3,Low Risk,5.153300752168284,33.16541934379855,-72.61710252909916,-2.652786077078733,49.804,2021-12-30
101585,HDFC Equity Savings Fund - GROWTH PLAN,3,Low Risk,5.2494130201734714,7.562116247256076,-82.98507243611384,-2.792675651360374,67.62,2026-01-09
103155,Aditya Birla Sun Life Equity Hybrid'95 Fund - Regular Plan-Growth,3,Low Risk,13.75169590350975,5.540277183618864,-91.79647199559476,-1.1865743976330425,1554.26,2026-01-09
102885,SBI EQUITY HYBRID FUND - REGULAR PLAN -Growth,3,Low Risk,14.381075630129809,10.221359886144867,-91.83321474713652,-1.1233854639014704,307.3861,2026-01-09
100356,ICICI Prudential Equity & Debt Fund - Growth,3,Low Risk,14.575823192695388,11.065350207287802,-94.41417550626808,-1.2021085253888182,407.21,2026-01-09
103154,Aditya Birla Sun Life Equity Hybrid'95 Fund -Regular - IDCW,3,Low Risk,14.68397040096306,-5.029856366668457,-69.44118397550395,-0.642651100342635,176.54,2026-01-09
102266,UTI Children's Equity Fund - Regular Plan - IDCW,3,Low Risk,14.784466687158108,-0.2077495523855996,-89.73031498649057,-1.029881091679558,84.8296,2026-01-09
102267,UTI Children's Equity Fund - Regular Plan - Growth Option,3,Low Risk,14.784530316196124,-0.2078796627337725,-89.72969658882765,-1.0298625934504992,84.8244,2026-01-09
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,3,Low Risk,15.566316593061714,3.9055191768007527,-79.45838837516513,-0.6150594236066373,44.43,2026-01-09
101551,SBI Equity Hybrid Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),3,Low Risk,16.144988099617212,10.22180783197565,-75.08115217994667,-0.6168989103599811,65.1369,2026-01-09
102948,HDFC Hybrid Equity Fund - Growth Plan,3,Low Risk,18.642822779123374,4.224168861740948,-91.41899514950876,-0.7479880900525284,119.098,2026-01-09
101834,UTI - Master Equity Plan Unit Scheme,3,Low Risk,18.84565843283005,3.0542452518091534,-89.35498354524688,-0.7116250490111643,233.6316,2026-01-09
103006,HSBC Small Cap Equity Fund - Growth,3,Low Risk,22.249037138511973,13.94649709765456,-90.72904547654105,-0.5537406948685456,82.25,2022-11-25
101265,Principal Hybrid Equity Fund-Growth,4,High Risk,15.468088186985112,52.42332968236582,-86.63429593662151,-0.9736511886975636,111.33,2021-12-30
101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option,4,High Risk,16.98032445484144,48.95565328935312,-82.50596387595137,-0.7114579833754707,81.2851,2022-03-13
101266,Principal Hybrid Equity Fund- Monthly Income Distribution CUM Capital Withdrawal,4,High Risk,18.428744643591376,36.11641221374045,-73.97305290831416,-0.4129587438839847,28.53,2021-12-30
100189,ING Core Equity Fund-Growth Option,4,High Risk,24.038402910339077,48.15104166666667,-71.99660152931182,-0.5318607102865189,56.89,2014-10-09
102242,ING Large Cap Equity Fund-Growth Option,4,High Risk,25.034896664204965,39.89361702127661,-68.52941176470588,-0.4924299410002456,39.45,2014-10-09
102243,ING Large Cap Equity Fund-Dividend Option,4,High Risk,25.051312554112663,39.8936170212766,-68.56617647058823,-0.4927216594165688,26.3,2014-10-09
102426,Principal Resurgent India Equity Fund-Growth,4,High Risk,26.145170436192515,74.73852153873428,-60.18549188473005,-0.4487973974112047,98.57,2010-10-29
103153,Standard Chartered Premier Equity Fund-Plan-Dividend,4,High Risk,27.87666637832249,60.60349146402557,-69.71579437800901,-0.8215082174479253,20.8375,2008-05-29
103152,Standard Chartered Premier Equity Fund-Plan-Growth,4,High Risk,27.877136844475693,60.60349146402557,-69.71579437800901,-0.8214905405764824,20.8375,2008-05-29
100188,ING Core Equity Fund-Dividend Option,4,High Risk,30.065306501251733,48.1384715871979,-62.830349531116795,-0.1359923970997595,22.68,2014-10-09
102427,Principal Resurgent India Equity Fund-Dividend,4,High Risk,38.37688240280639,74.78152309612985,-57.96491228070175,0.3390138824822949,14.0,2010-10-29
